Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8
1.811,0.2966798025,0.36061785,0.83169883,0.1259549,0.12629376,0.16485681,0.20487018,0.26780909,0.36008382,0.40880635,0.1517458,0.12405701,0.43336323,0.22215055250000001,0.12265728,0.13683134,0.1550688,0.20137896,0.25107503,0.3699885,0.4221569,0.11804761
1.812,0.2966712841666667,0.36070785,0.83174014,0.12586986,0.12630086,0.16510667,0.20496811,0.26785159,0.35977483,0.4085336,0.1517255,0.12410167,0.43337473,0.222241275,0.12268944,0.13688509,0.15513684,0.20151214,0.25120965,0.37014386,0.42228842,0.11806476
1.813,0.2966529883333333,0.36076933,0.83177102,0.12577824,0.12625813,0.16534369,0.20501526,0.26791421,0.3593919,0.40831834,0.15169753,0.12415368,0.43342453,0.22233451,0.12272346,0.13694142,0.15520371,0.20165369,0.25134712,0.37029997,0.422425,0.11808171
1.814,0.29662634,0.36079037,0.83178008,0.12568057,0.12616171,0.16555747,0.20501724,0.26800197,0.35896134,0.4081772,0.15166567,0.12420635,0.43351611,0.22243009749999998,0.12276004,0.13699992,0.15527043,0.20180313,0.2514877,0.3704569,0.42256358,0.11809908
1.8150001,0.29659035,0.36076355,0.8317582,0.12557833,0.12601149,0.16574065,0.20498011,0.26811853,0.35850614,0.40812251,0.15160006,0.1242542,0.43365043,0.22252759624999996,0.12279966,0.13706028,0.15533811,0.20195937,0.25163123,0.37061471,0.42270014,0.11811727
1.816,0.29654679666666667,0.36068726,0.83169949,0.12547414,0.12581208,0.16588968,0.20491041,0.2682659,0.35804489,0.40816143,0.15149774,0.12429332,0.43382522,0.22262642125,0.12284256,0.13712232,0.15540798,0.20212078,0.25177744,0.37077338,0.4228304,0.11813651
1.817,0.2965031,0.36056587,0.8316009,0.12537184,0.12557302,0.16600506,0.20481531,0.26844439,0.35759163,0.4082956,0.15141739,0.12432134,0.43403485,0.22272593624999998,0.12288866,0.13718587,0.1554811,0.20228554,0.25192586,0.37093297,0.42295063,0.11815686
1.818,0.2964643975,0.36040938,0.83146238,0.12527652,0.12530866,0.16609091,0.20470263,0.26865265,0.35715666,0.4085215,0.15138362,0.1243373,0.43427056,0.22282547249999995,0.12293757,0.13725069,0.15555818,0.20245172,0.25207585,0.37109336,0.42305812,0.11817829
1.819,0.29643584250000005,0.36023179,0.83128577,0.12519401,0.12503664,0.16615412,0.20458066,0.26888818,0.35674739,0.40883201,0.15141697,0.12434131,0.43452126,0.22292454624999997,0.12298869,0.13731639,0.15563953,0.20261772,0.25222677,0.37125438,0.42315209,0.1182008
1.8200001,0.29641728083333335,0.36004978,0.83107442,0.12513076,0.12477691,0.1662032,0.20445807,0.26914772,0.35636947,0.40921742,0.15147109,0.1243341,0.43477443,0.22302282625,0.12304121,0.13738239,0.15572499,0.20278233,0.25237799,0.3714157,0.42323354,0.11822446
